City,City,Max Temp,Country,Weather Description,Lat,Lng,Hotel Name
21,Ouadda,66.92,CF,light rain,8.08,22.4,
27,Bredasdorp,62.6,ZA,moderate rain,-34.53,20.04,Bredasdorp Country Manor
39,Gimbi,56.14,ET,moderate rain,9.17,35.83,Sam home
45,Ambon,79.0,ID,moderate rain,-3.7,128.18,Swiss-Belhotel Ambon
49,Porbandar,83.07,IN,light rain,21.64,69.61,Lords Inn Porbandar
59,Butaritari,83.79,KI,light rain,3.07,172.79,Isles Sunset Lodge
64,Qaqortoq,51.8,GL,light rain,60.72,-46.03,Hotel Qaqortoq
67,Vostok,66.96,RU,light rain,46.49,135.88,
69,Saint-Philippe,66.2,RE,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
81,Busselton,59.0,AU,light rain,-33.65,115.33,Observatory Guest House
84,Shiyan,69.53,CN,light rain,32.65,110.78,Karen International Hotel
87,Hofn,51.66,IS,light rain,64.25,-15.21,Hótel Höfn
90,Hermanus,55.0,ZA,light rain,-34.42,19.23,Misty Waves Boutique Hotel
91,Bria,68.5,CF,light rain,6.54,21.99,
102,Gilgit,74.08,PK,light rain,35.92,74.31,Tourist Hamlet Gilgit
110,Muravlenko,57.36,RU,light rain,63.79,74.52,Hostel Rus Muravlenko
112,Kapaa,82.4,US,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
114,Maragogi,74.3,BR,light rain,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
126,Bay Roberts,60.01,CA,moderate rain,47.6,-53.26,Stonewall Inn
127,Kribi,75.16,CM,light rain,2.95,9.92,Les Vagues bleues
129,Tangshan,77.83,CN,light rain,39.63,118.18,Civil Affairs Hotel
138,Vanimo,82.24,PG,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
140,Narsaq,51.8,GL,light rain,60.92,-46.05,Hotel Narsaq
143,Dingle,84.13,PH,light rain,11.0,122.67,Camp Pasica
149,Sibolga,75.22,ID,light rain,1.74,98.78,Hotel Syariah CN Darussalam
192,Vestmannaeyjar,50.72,IS,light rain,63.44,-20.27,Glamping & Camping
196,Mon,72.46,IN,light rain,26.75,95.1,NCK Cottage
219,Manggar,81.41,ID,moderate rain,-2.88,108.27,Guest Hotel
220,Staryy Nadym,59.11,RU,light rain,65.61,72.68,
227,Pasighat,76.86,IN,light rain,28.07,95.33,Siang Guest House
234,Bilibino,61.3,RU,light rain,68.05,166.44,Gostinitsa Severyanka
250,Luba,76.33,GQ,light rain,3.46,8.55,
291,Huangchuan,69.69,CN,light rain,32.13,115.04,Guangzhou International Hotel
298,Camden,84.0,US,light rain,39.78,-74.97,Shenandoah Village
306,Lakes Entrance,57.0,AU,light rain,-37.88,147.98,The Esplanade Resort & Spa
312,Palu,80.2,ID,light rain,-0.89,119.87,Hotel Santika Palu
314,Kavaratti,83.03,IN,light rain,10.57,72.64,Bismillah Hotel And Lodging
315,Tevaitoa,79.21,PF,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
328,Klaksvik,50.0,FO,light rain,62.23,-6.59,Airbnb rooms
329,Bonavista,57.0,CA,moderate rain,48.65,-53.11,Abbott's Bed & Breakfast
330,Pauini,72.79,BR,light rain,-7.71,-66.98,Casa do Kiwliks
339,Skeldon,77.02,GY,light rain,5.88,-57.13,Rits Hotel
361,Harnosand,51.01,SE,moderate rain,62.63,17.94,First Hotel Stadt
362,Vernon,55.99,CA,moderate rain,50.26,-119.27,Prestige Vernon Lodge and Conference Centre
365,Yar-Sale,51.37,RU,moderate rain,66.83,70.83,Yalemd
369,Merauke,79.3,ID,light rain,-8.47,140.33,
373,Makokou,69.08,GA,light rain,0.57,12.86,WAMY RESIDENCE HOTEL
378,Along,73.44,IN,light rain,28.17,94.77,Hotel West
393,Marystown,60.6,CA,light rain,47.17,-55.15,Marystown Hotel & Convention Centre
400,Gondar,58.55,ET,light rain,12.6,37.47,L Shape Hotel
402,Majene,76.37,ID,moderate rain,-3.54,118.97,Kost Putri RABBANI
409,Kendari,79.41,ID,light rain,-3.94,122.5,Hotel Wixel
424,Broome,69.01,US,moderate rain,42.25,-75.83,Chenango Valley State Park
434,Moroto,64.51,UG,light rain,2.53,34.67,"Kara-Tunga, Karamoja Safari Camp"
441,Mangrol,82.92,IN,light rain,21.12,70.12,Hotel The Royal Honours
457,Tazovskiy,51.57,RU,light rain,67.47,78.7,TazHostel
500,Loa Janan,73.83,ID,light rain,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
505,Kiunga,76.1,PG,light rain,-6.12,141.29,Airport Lodge Kiunga
518,Buala,83.12,SB,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
520,Koumra,72.99,TD,heavy intensity rain,8.91,17.55,Motel Espoir
527,Batemans Bay,54.0,AU,light rain,-35.72,150.18,Coachhouse Marina Resort - Batemans Bay
528,Aksarka,56.34,RU,moderate rain,66.56,67.8,
534,Mizan Teferi,61.41,ET,light rain,6.98,35.58,Hotel Salayish | ሆቴል ሳላይሽ
